number,value,datetime_start,datetime_complete,duration,params_D,params_F1,params_F2,params_batch_size,params_dropout,params_grad_clip,params_huber_delta,params_loss,params_lr,params_meanmax_alpha,params_norm,params_pool1,params_pool2,params_separable_kern,params_temporal_kern,params_weight_decay,user_attrs_fold_details,user_attrs_mean_best_val_nrmse,user_attrs_std_best_val_nrmse,state
0,0.9998296293630162,2026-05-25 22:31:44.980615,2026-05-25 22:36:32.913613,0 days 00:04:47.932998,1,4,8,2,0.2852620618436458,2.0,1.1515921243548266,huber,5.682837558512268e-05,0.25,group,4,16,63,127,1e-06,"[{'trial': 0, 'fold': 1, 'best_epoch': 18, 'best_val_loss': 0.21644993033260107, 'best_val_rmse': 0.6635315145161614, 'best_val_nrmse': 0.9968859122947815, 'best_val_mae': 0.5351021137265932, 'best_val_r2': 0.006218477868201178}, {'trial': 0, 'fold': 2, 'best_epoch': 14, 'best_val_loss': 0.37412287081990925, 'best_val_rmse': 0.9145182075376539, 'best_val_nrmse': 1.0115177405171871, 'best_val_mae': 0.6852729409223511, 'best_val_r2': -0.02316813938099549}, {'trial': 0, 'fold': 3, 'best_epoch': 19, 'best_val_loss': 0.26843852329660545, 'best_val_rmse': 0.7442257489349438, 'best_val_nrmse': 0.9945760046707542, 'best_val_mae': 0.6001497777602212, 'best_val_r2': 0.010818570933159855}, {'trial': 0, 'fold': 4, 'best_epoch': 37, 'best_val_loss': 0.344892055505798, 'best_val_rmse': 0.8625562595247206, 'best_val_nrmse': 1.0005389332963024, 'best_val_mae': 0.6473659466331204, 'best_val_r2': -0.0010781570417024433}, {'trial': 0, 'fold': 5, 'best_epoch': 3, 'best_val_loss': 0.33061666177077725, 'best_val_rmse': 0.8607328814187102, 'best_val_nrmse': 0.9956295560360555, 'best_val_mae': 0.6285854078067298, 'best_val_r2': 0.008721787147447091}]",0.9998296293630162,0.006910530243021106,COMPLETE
1,0.998557933702204,2026-05-25 22:36:33.079639,2026-05-25 22:44:33.520500,0 days 00:08:00.440861,4,4,24,8,0.6315517129377968,1.0,,mse,6.390259853593123e-05,0.0,group,16,8,63,127,1e-05,"[{'trial': 1, 'fold': 1, 'best_epoch': 16, 'best_val_loss': 0.4374250727040427, 'best_val_rmse': 0.6613811746782271, 'best_val_nrmse': 0.993655254150916, 'best_val_mae': 0.5248231433243269, 'best_val_r2': 0.012649235898278488}, {'trial': 1, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.8228109166735694, 'best_val_rmse': 0.907089276080716, 'best_val_nrmse': 1.0033008500279188, 'best_val_mae': 0.683613515567101, 'best_val_r2': -0.006612595666744436}, {'trial': 1, 'fold': 3, 'best_epoch': 22, 'best_val_loss': 0.5493455583398993, 'best_val_rmse': 0.7411784823413542, 'best_val_nrmse': 0.9905036674287867, 'best_val_mae': 0.5939328999004581, 'best_val_r2': 0.018902484810123688}, {'trial': 1, 'fold': 4, 'best_epoch': 20, 'best_val_loss': 0.7535733921187264, 'best_val_rmse': 0.8680860531606465, 'best_val_nrmse': 1.0069533251284206, 'best_val_mae': 0.6507655300111288, 'best_val_r2': -0.013954998987182998}, {'trial': 1, 'fold': 5, 'best_epoch': 15, 'best_val_loss': 0.7449549003080889, 'best_val_rmse': 0.8631077072341261, 'best_val_nrmse': 0.9983765717749783, 'best_val_mae': 0.6334240203299983, 'best_val_r2': 0.003244220930841535}]",0.998557933702204,0.00674385306420771,COMPLETE
2,0.9896998011578184,2026-05-25 22:44:33.681423,2026-05-25 23:02:40.467910,0 days 00:18:06.786487,3,16,32,4,0.4553736512887828,2.0,,mse,0.0021662155489352167,0.0,group,16,8,31,127,0.001,"[{'trial': 2, 'fold': 1, 'best_epoch': 18, 'best_val_loss': 0.40626065716857, 'best_val_rmse': 0.6373858045036627, 'best_val_nrmse': 0.9576047486903514, 'best_val_mae': 0.5170173265394711, 'best_val_r2': 0.08299314528568913}, {'trial': 2, 'fold': 2, 'best_epoch': 4, 'best_val_loss': 0.8511425143196469, 'best_val_rmse': 0.922573820805618, 'best_val_nrmse': 1.020427782618187, 'best_val_mae': 0.6738861612975597, 'best_val_r2': -0.04127285953906967}, {'trial': 2, 'fold': 3, 'best_epoch': 4, 'best_val_loss': 0.5608058029955084, 'best_val_rmse': 0.7488697014300348, 'best_val_nrmse': 1.0007821373194274, 'best_val_mae': 0.6049792539243671, 'best_val_r2': -0.0015648863776414057}, {'trial': 2, 'fold': 4, 'best_epoch': 25, 'best_val_loss': 0.6858611333937872, 'best_val_rmse': 0.8281673338258185, 'best_val_nrmse': 0.9606488291366685, 'best_val_mae': 0.6663288011526068, 'best_val_r2': 0.07715382707834795}, {'trial': 2, 'fold': 5, 'best_epoch': 8, 'best_val_loss': 0.7609465403312986, 'best_val_rmse': 0.872322476778935, 'best_val_nrmse': 1.0090355080244577, 'best_val_mae': 0.6359926476566629, 'best_val_r2': -0.018152656454175187}]",0.9896998011578184,0.028787792324713596,COMPLETE
3,0.9880400651165253,2026-05-25 23:02:40.626840,2026-05-25 23:29:16.040869,0 days 00:26:35.414029,3,16,8,4,0.26876047207299664,5.0,1.3807456517566499,huber,4.3546443213875336e-05,0.25,group,8,16,15,31,1e-06,"[{'trial': 3, 'fold': 1, 'best_epoch': 40, 'best_val_loss': 0.21231897951968545, 'best_val_rmse': 0.6518554156765286, 'best_val_nrmse': 0.9793438088842464, 'best_val_mae': 0.5194176454984006, 'best_val_r2': 0.04088570400009661}, {'trial': 3, 'fold': 2, 'best_epoch': 21, 'best_val_loss': 0.38053088244937716, 'best_val_rmse': 0.8956561894476377, 'best_val_nrmse': 0.9906550985678502, 'best_val_mae': 0.6802917316201187, 'best_val_r2': 0.01860247568152318}, {'trial': 3, 'fold': 3, 'best_epoch': 18, 'best_val_loss': 0.26331402225927875, 'best_val_rmse': 0.728582198397292, 'best_val_nrmse': 0.9736701168875531, 'best_val_mae': 0.5847472629340534, 'best_val_r2': 0.051966503480178505}, {'trial': 3, 'fold': 4, 'best_epoch': 40, 'best_val_loss': 0.35058800947098506, 'best_val_rmse': 0.8513025432110143, 'best_val_nrmse': 0.9874849658689032, 'best_val_mae': 0.6329054108244323, 'best_val_r2': 0.024873442182891004}, {'trial': 3, 'fold': 5, 'best_epoch': 19, 'best_val_loss': 0.35868001576851716, 'best_val_rmse': 0.8723318371437179, 'best_val_nrmse': 1.0090463353740735, 'best_val_mae': 0.65677893970331, 'best_val_r2': -0.0181745069318473}]",0.9880400651165253,0.013514161182073076,COMPLETE
4,0.9964176698000514,2026-05-25 23:29:16.203802,2026-05-25 23:53:26.684172,0 days 00:24:10.480370,4,16,32,4,0.6460232775885566,2.0,,mse,0.00016596864474821183,0.1,group,8,8,15,127,1e-06,"[{'trial': 4, 'fold': 1, 'best_epoch': 6, 'best_val_loss': 0.41025235411888433, 'best_val_rmse': 0.6405094495667527, 'best_val_nrmse': 0.96229769497893, 'best_val_mae': 0.5151033921255952, 'best_val_r2': 0.0739831462382381}, {'trial': 4, 'fold': 2, 'best_epoch': 10, 'best_val_loss': 0.8345027196974981, 'best_val_rmse': 0.9135112116025419, 'best_val_nrmse': 1.0104039362816901, 'best_val_mae': 0.6830184413563638, 'best_val_r2': -0.020916114453533696}, {'trial': 4, 'fold': 3, 'best_epoch': 34, 'best_val_loss': 0.574359121647748, 'best_val_rmse': 0.7578648364261125, 'best_val_nrmse': 1.0128031476629638, 'best_val_mae': 0.6071753713132982, 'best_val_r2': -0.025770215916006922}, {'trial': 4, 'fold': 4, 'best_epoch': 11, 'best_val_loss': 0.7245794733365377, 'best_val_rmse': 0.8512223515504264, 'best_val_nrmse': 0.9873919459903064, 'best_val_mae': 0.6511156241010342, 'best_val_r2': 0.025057144993475666}, {'trial': 4, 'fold': 5, 'best_epoch': 8, 'best_val_loss': 0.7611819993365895, 'best_val_rmse': 0.8724574408596903, 'best_val_nrmse': 1.0091916240863672, 'best_val_mae': 0.6351941642351449, 'best_val_r2': -0.018467734126079716}]",0.9964176698000514,0.02163856404133625,COMPLETE
5,0.9916637097690908,2026-05-25 23:53:26.843694,2026-05-25 23:59:17.569358,0 days 00:05:50.725664,4,4,48,2,0.5249819653888825,0.5,,mse,8.518527208506256e-05,0.25,group,16,16,63,63,1e-06,"[{'trial': 5, 'fold': 1, 'best_epoch': 17, 'best_val_loss': 0.42015208258609554, 'best_val_rmse': 0.6481913944999934, 'best_val_nrmse': 0.973839004646122, 'best_val_mae': 0.5137565712488833, 'best_val_r2': 0.05163759302985027}, {'trial': 5, 'fold': 2, 'best_epoch': 9, 'best_val_loss': 0.8179349870908827, 'best_val_rmse': 0.9043975861020577, 'best_val_nrmse': 1.0003236625395295, 'best_val_mae': 0.6874414257527817, 'best_val_r2': -0.0006474298364986808}, {'trial': 5, 'fold': 3, 'best_epoch': 10, 'best_val_loss': 0.5532002038407055, 'best_val_rmse': 0.7437742874834717, 'best_val_nrmse': 0.9939726760069577, 'best_val_mae': 0.5940581266768277, 'best_val_r2': 0.012018319351567497}, {'trial': 5, 'fold': 4, 'best_epoch': 2, 'best_val_loss': 0.7240230199836549, 'best_val_rmse': 0.8508954160807988, 'best_val_nrmse': 0.98701271082457, 'best_val_mae': 0.6548836415278769, 'best_val_r2': 0.025805908670733735}, {'trial': 5, 'fold': 5, 'best_epoch': 14, 'best_val_loss': 0.752126182154329, 'best_val_rmse': 0.867252107305365, 'best_val_nrmse': 1.0031704948282747, 'best_val_mae': 0.6269630846906115, 'best_val_r2': -0.006351041694005355}]",0.9916637097690908,0.01174823511612296,COMPLETE
6,1.0155132080363858,2026-05-25 23:59:17.726543,2026-05-25 23:59:55.898713,0 days 00:00:38.172170,4,4,24,8,0.4771770262557003,0.5,,mse,0.0007538357125084303,0.0,group,8,8,7,63,0.001,,,,PRUNED
7,0.9839683202655315,2026-05-25 23:59:56.056184,2026-05-26 00:00:57.021908,0 days 00:01:00.965724,1,16,24,8,0.6224376554847273,2.0,0.2588952127036579,huber,0.0005319887413489144,0.1,group,4,4,7,95,1e-06,,,,PRUNED
8,1.0209058761187357,2026-05-26 00:00:57.182222,2026-05-26 00:02:49.508515,0 days 00:01:52.326293,1,12,32,2,0.4747644411618677,1.0,,mse,2.2605167783116893e-05,0.1,group,8,8,63,63,0.0,,,,PRUNED
9,0.9891763413532986,2026-05-26 00:02:49.665909,2026-05-26 00:05:23.382074,0 days 00:02:33.716165,3,16,8,4,0.6964823980596502,1.0,1.481801382969732,huber,0.0003623237013041106,0.25,group,16,8,31,127,0.001,,,,PRUNED
