experiment,pp_as,aggregate,standardize,class_weights,split_seed,init_seed,fold,best_epoch,best_val_balanced_acc,best_val_loss,test_loss,test_acc,test_balanced_acc,test_f1_macro,plot_path,checkpoint_path
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2025,1,68,0.75,0.7482030302286148,0.8685306857029597,0.5833333333333334,0.5833333333333334,0.5555555555555556,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2025_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2025_fold-01.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2025,2,40,0.6499999999999999,0.7418566226959229,0.6767638822396597,0.75,0.75,0.7428571428571429,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2025_fold-02.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2025_fold-02.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2025,3,55,0.6000000000000001,0.871544599533081,0.38558658957481384,0.875,0.875,0.8747826086956522,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2025_fold-03.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2025_fold-03.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2025,4,21,0.8,0.6080433368682862,0.6744778354962667,0.5833333333333334,0.5833333333333334,0.5555555555555556,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2025_fold-04.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2025_fold-04.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2025,5,52,0.8,0.6447242259979248,0.5847796726226807,0.72,0.7211538461538461,0.72,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2025_fold-05.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2025_fold-05.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2026,1,41,0.7,0.7362337350845337,0.8098519245783488,0.5,0.5,0.4857142857142857,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2026_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2026_fold-01.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2026,2,38,0.75,0.6750810444355011,0.5632520318031311,0.7916666666666666,0.7916666666666667,0.7822141560798548,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2026_fold-02.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2026_fold-02.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2026,3,77,0.75,0.8822719395160675,0.399824062983195,0.875,0.875,0.873015873015873,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2026_fold-03.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2026_fold-03.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2026,4,14,0.8,0.6496074438095093,0.6577066977818807,0.6666666666666666,0.6666666666666667,0.6571428571428571,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2026_fold-04.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2026_fold-04.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2026,5,17,0.7,0.6719585180282592,0.647157006263733,0.8,0.7948717948717949,0.7947454844006567,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2026_fold-05.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2026_fold-05.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2027,1,36,0.75,0.6087444752454758,0.7658986449241638,0.6666666666666666,0.6666666666666667,0.6643356643356644,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2027_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2027_fold-01.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2027,2,9,0.7,0.6878680229187012,0.6768559416135153,0.5,0.5,0.5,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2027_fold-02.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2027_fold-02.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2027,3,34,0.6,0.9537420511245728,0.4587731758753459,0.875,0.875,0.8747826086956522,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2027_fold-03.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2027_fold-03.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2027,4,17,0.8,0.6388821601867676,0.6564974586168925,0.6666666666666666,0.6666666666666666,0.6666666666666666,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2027_fold-04.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2027_fold-04.pt
eegnet_tensor_62s_noagg,tensor,False,True,True,3407,2027,5,23,0.75,0.6450641036033631,0.6715699124336243,0.68,0.6858974358974359,0.6753246753246753,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\plots\fold_curves\split-3407_init-2027_fold-05.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_62s_noagg\checkpoints\split-3407_init-2027_fold-05.pt
