experiment,pp_as,aggregate,standardize,class_weights,split_seed,init_seed,fold,best_epoch,best_val_balanced_acc,best_val_loss,test_loss,test_acc,test_balanced_acc,test_f1_macro,plot_path,checkpoint_path
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2025,1,60,0.7,0.7550931572914124,0.6812971631685892,0.7083333333333334,0.7083333333333334,0.7037037037037037,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2025_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2025_fold-01.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2025,2,25,0.7,0.6398380517959594,0.6452884872754415,0.4583333333333333,0.45833333333333337,0.4497354497354497,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2025_fold-02.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2025_fold-02.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2025,3,71,0.7,0.8858401954174042,0.35968990127245587,0.75,0.75,0.7482517482517483,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2025_fold-03.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2025_fold-03.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2025,4,53,0.75,0.5875031262636184,0.585227241118749,0.6666666666666666,0.6666666666666667,0.6643356643356644,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2025_fold-04.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2025_fold-04.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2025,5,58,0.75,0.5567874073982239,0.5481709289550781,0.72,0.7243589743589745,0.7181964573268921,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2025_fold-05.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2025_fold-05.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2026,1,28,0.6000000000000001,0.7437091886997222,0.9653367598851522,0.4166666666666667,0.4166666666666667,0.4,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2026_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2026_fold-01.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2026,2,40,0.7,0.7062855720520019,0.9634256362915039,0.5,0.5,0.4857142857142857,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2026_fold-02.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2026_fold-02.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2026,3,8,0.6000000000000001,0.6953566431999206,0.68897545337677,0.5,0.5,0.49650349650349646,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2026_fold-03.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2026_fold-03.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2026,4,21,0.6,0.6972244381904602,0.6522592902183533,0.7083333333333334,0.7083333333333333,0.7078260869565217,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2026_fold-04.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2026_fold-04.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2026,5,60,0.75,0.8341011047363281,0.6164329361915588,0.68,0.6794871794871795,0.6794871794871795,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2026_fold-05.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2026_fold-05.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2027,1,24,0.55,0.7759557783603668,0.8773255348205566,0.5,0.5,0.4666666666666667,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2027_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2027_fold-01.pt
eegnet_tensor_aggmeanmax020,tensor,True,True,True,3407,2027,2,11,0.6,0.7341631174087524,0.7002458175023397,0.5,0.5,0.5,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\plots\fold_curves\split-3407_init-2027_fold-02.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_aggmeanmax020\checkpoints\split-3407_init-2027_fold-02.pt
