experiment,pp_as,aggregate,standardize,class_weights,split_seed,init_seed,fold,best_epoch,best_val_balanced_acc,best_val_loss,test_loss,test_acc,test_balanced_acc,test_f1_macro,plot_path,checkpoint_path
eegnet_tensor_noagg4,tensor,False,True,True,3407,2025,1,61,0.75,0.7459473788738251,0.8422020723422369,0.5833333333333334,0.5833333333333334,0.5555555555555556,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2025_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2025_fold-01.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2025,2,71,0.7,0.7924031436443328,0.727292388677597,0.75,0.75,0.7428571428571429,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2025_fold-02.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2025_fold-02.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2025,3,32,0.65,0.8405143022537231,0.4316119949022929,0.8333333333333334,0.8333333333333333,0.8321678321678322,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2025_fold-03.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2025_fold-03.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2025,4,21,0.8500000000000001,0.6076401829719543,0.6726805369059244,0.5833333333333334,0.5833333333333334,0.5555555555555556,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2025_fold-04.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2025_fold-04.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2025,5,80,0.8,0.6765376031398773,0.6099147272109985,0.76,0.7628205128205128,0.7596153846153846,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2025_fold-05.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2025_fold-05.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2026,1,45,0.75,0.7815009117126465,0.8205908536911011,0.5833333333333334,0.5833333333333334,0.5555555555555556,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2026_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2026_fold-01.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2026,2,38,0.75,0.6645615816116333,0.5684445003668467,0.8333333333333334,0.8333333333333333,0.8285714285714285,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2026_fold-02.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2026_fold-02.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2026,3,61,0.75,0.8519128203392029,0.42298199733098346,0.9166666666666666,0.9166666666666666,0.9166666666666666,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2026_fold-03.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2026_fold-03.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2026,4,18,0.75,0.6379256844520569,0.6560893853505453,0.7083333333333334,0.7083333333333334,0.7037037037037037,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2026_fold-04.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2026_fold-04.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2026,5,18,0.7,0.6695565104484558,0.6419570755958557,0.8,0.7948717948717949,0.7947454844006567,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2026_fold-05.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2026_fold-05.pt
eegnet_tensor_noagg4,tensor,False,True,True,3407,2027,1,36,0.75,0.6015013635158539,0.7614772617816925,0.625,0.625,0.6190476190476191,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\plots\fold_curves\split-3407_init-2027_fold-01.png,C:\Users\jhon0\Documents\UTP\Work\MultimodalAnalysis\outputs\adhd_db\eegnet_tensor_noagg4\checkpoints\split-3407_init-2027_fold-01.pt
