config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,4557,4750,3,1,1.5468601973160454,0.43478260869565216,0.42328042328042326,0.4230769230769231,"{""2"": 11, ""0"": 6, ""1"": 6}",1.116418480873108,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,2,1.2213909289111262,0.43478260869565216,0.41269841269841273,0.34848484848484845,"{""2"": 13, ""1"": 9, ""0"": 1}",1.123422622680664,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,3,1.0675539089285808,0.4782608695652174,0.49206349206349204,0.48055555555555557,"{""0"": 8, ""2"": 7, ""1"": 8}",1.1328405141830444,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,4,1.2678273294282996,0.34782608695652173,0.35978835978835977,0.3409897292250233,"{""2"": 6, ""1"": 10, ""0"": 7}",1.1451152563095093,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,5,1.2315412034159121,0.30434782608695654,0.31216931216931215,0.30997150997150996,"{""0"": 6, ""2"": 9, ""1"": 8}",1.1614876985549927,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,6,1.1009547243947568,0.43478260869565216,0.4444444444444444,0.4388888888888889,"{""1"": 8, ""2"": 6, ""0"": 9}",1.1817959547042847,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,7,1.159131091573964,0.34782608695652173,0.34920634920634913,0.3452380952380952,"{""2"": 7, ""1"": 7, ""0"": 9}",1.2052170038223267,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""1"": 4, ""2"": 1, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,8,1.1759661384250806,0.34782608695652173,0.34920634920634913,0.34722222222222215,"{""1"": 5, ""0"": 9, ""2"": 9}",1.2302759885787964,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""1"": 4, ""2"": 1, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,9,1.0033688752547554,0.4782608695652174,0.48148148148148145,0.47977207977207975,"{""0"": 8, ""2"": 9, ""1"": 6}",1.2550463676452637,0.3333333333333333,0.3333333333333333,0.3,"{""1"": 2, ""2"": 3, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,10,1.3359435589417168,0.391304347826087,0.3862433862433862,0.38730158730158726,"{""2"": 11, ""1"": 7, ""0"": 5}",1.2838190793991089,0.3333333333333333,0.3333333333333333,0.3,"{""1"": 2, ""2"": 3, ""0"": 1}"
