config,split_seed,init_seed,fold,epoch,train_loss,train_acc,train_balanced_acc,train_macro_f1,train_pred_counts,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_pred_counts
eegnet_small_t600_meanmax050,4557,4750,3,1,1.4757056547247844,0.43478260869565216,0.42328042328042326,0.4212121212121212,"{""2"": 11, ""0"": 8, ""1"": 4}",1.1069605350494385,0.3333333333333333,0.3333333333333333,0.16666666666666666,"{""1"": 6}"
eegnet_small_t600_meanmax050,4557,4750,3,2,1.2400802425716235,0.43478260869565216,0.41269841269841273,0.34848484848484845,"{""2"": 13, ""1"": 9, ""0"": 1}",1.1153969764709473,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,3,1.0706009242845618,0.4782608695652174,0.49206349206349204,0.48055555555555557,"{""0"": 8, ""2"": 7, ""1"": 8}",1.124433159828186,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,4,1.2302536031474238,0.34782608695652173,0.35978835978835977,0.3452380952380952,"{""2"": 7, ""1"": 9, ""0"": 7}",1.1368268728256226,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,5,1.2593005480973616,0.30434782608695654,0.31216931216931215,0.30997150997150996,"{""0"": 6, ""2"": 9, ""1"": 8}",1.1526012420654297,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,6,1.1132528574570366,0.43478260869565216,0.4444444444444444,0.4388888888888889,"{""1"": 8, ""2"": 6, ""0"": 9}",1.1718676090240479,0.16666666666666666,0.16666666666666666,0.09523809523809523,"{""1"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,7,1.1635186309399812,0.34782608695652173,0.34920634920634913,0.3462184873949579,"{""2"": 6, ""1"": 7, ""0"": 10}",1.1940540075302124,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""1"": 4, ""2"": 1, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,8,1.1773758141890815,0.30434782608695654,0.30158730158730157,0.28936423054070115,"{""1"": 4, ""0"": 10, ""2"": 9}",1.2175023555755615,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""1"": 4, ""2"": 1, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,9,1.0019718304924343,0.4782608695652174,0.48148148148148145,0.47977207977207975,"{""0"": 8, ""2"": 9, ""1"": 6}",1.2401604652404785,0.3333333333333333,0.3333333333333333,0.3,"{""1"": 3, ""2"": 2, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,10,1.2513943444127622,0.34782608695652173,0.3386243386243386,0.3384615384615384,"{""2"": 11, ""1"": 6, ""0"": 6}",1.2651067972183228,0.3333333333333333,0.3333333333333333,0.3,"{""1"": 2, ""2"": 3, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,11,1.3185251225595889,0.30434782608695654,0.30158730158730157,0.2888888888888889,"{""0"": 11, ""2"": 9, ""1"": 3}",1.2850935459136963,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 4, ""1"": 1, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,12,1.3764797241791435,0.21739130434782608,0.20634920634920637,0.20526315789473681,"{""2"": 10, ""0"": 8, ""1"": 5}",1.2998327016830444,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 4, ""1"": 1, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,13,1.368327234102332,0.34782608695652173,0.34920634920634913,0.34722222222222215,"{""2"": 9, ""1"": 9, ""0"": 5}",1.3126939535140991,0.16666666666666666,0.16666666666666666,0.1111111111111111,"{""2"": 4, ""1"": 1, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,14,1.1985637053199436,0.4782608695652174,0.49206349206349204,0.47236467236467233,"{""1"": 11, ""2"": 6, ""0"": 6}",1.3241509199142456,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,15,1.0842974600584612,0.34782608695652173,0.3386243386243386,0.3409897292250233,"{""2"": 8, ""1"": 8, ""0"": 7}",1.3337113857269287,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""2"": 5, ""0"": 1}"
eegnet_small_t600_meanmax050,4557,4750,3,16,1.0412127349687659,0.43478260869565216,0.41269841269841273,0.3961323763955343,"{""2"": 10, ""0"": 9, ""1"": 4}",1.3413962125778198,0.3333333333333333,0.3333333333333333,0.19047619047619047,"{""2"": 5, ""0"": 1}"
